model,field,context,source
prema.reconcile.advisor,amount_total,python-domain,models/reconciliation_advisor.py
prema.reconcile.advisor,explanation,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,is_reconciled,python-domain,models/reconciliation_advisor.py
prema.reconcile.advisor,model_name,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,record_id,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,rule_name,python-write,models/reconciliation_advisor.py
prema.reconcile.advisor,severity,python-write,models/reconciliation_advisor.py
prema.risk.matrix,status,python-domain,models/risk_matrix.py
prema.service.tool.registry,action,python-write,services/tool_registry.py
prema.service.tool.registry,details,python-write,services/tool_registry.py
prema.service.tool.registry,status,python-write,services/tool_registry.py
prema.tool.registry,display_type,python-domain,models/tool_registry.py
prema.tool.registry,is_complete,python-domain,models/tool_registry.py
prema.tool.registry,is_reconciled,python-domain,models/tool_registry.py
prema.tool.registry,move_id.state,python-domain,models/tool_registry.py
prema.tool.registry,move_type,python-domain,models/tool_registry.py
prema.tool.registry,state,python-domain,models/tool_registry.py
prema.tool.registry,tax_line_id,python-domain,models/tool_registry.py
prema.write.gate.service,action,python-write,services/write_gate.py
prema.write.gate.service,details,python-write,services/write_gate.py
prema.write.gate.service,model_name,python-write,services/write_gate.py
prema.write.gate.service,record_id,python-write,services/write_gate.py
prema.write.gate.service,status,python-write,services/write_gate.py
unknown,actions,js-token,static/src/js/chat.js
unknown,active,xml-view,data/cron.xml
unknown,advice_only,js-token,static/src/js/chat.js
unknown,assistant,js-token,static/src/js/chat.js
unknown,attachment_id,python-write,controllers/upload_controller.py
unknown,bus_service,js-token,static/src/js/chat.js
unknown,category_id,xml-view,security/security.xml
unknown,code,xml-view,data/cron.xml
unknown,code,xml-view,data/default_rules.xml
unknown,content,python-write,controllers/chat_controller.py
unknown,datas,python-write,controllers/upload_controller.py
unknown,description,xml-view,data/default_rules.xml
unknown,done,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,error,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,file,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,implied_ids,xml-view,security/security.xml
unknown,interval_number,xml-view,data/cron.xml
unknown,interval_type,xml-view,data/cron.xml
unknown,mimetype,python-write,controllers/upload_controller.py
unknown,model_id,xml-view,data/cron.xml
unknown,model_name,python-write,controllers/chat_controller.py
unknown,name,python-write,controllers/chat_controller.py
unknown,name,python-write,controllers/upload_controller.py
unknown,name,xml-view,data/cron.xml
unknown,name,xml-view,data/default_rules.xml
unknown,name,xml-view,security/security.xml
unknown,name,xml-view,views/chat_action.xml
unknown,notification,js-token,static/src/js/chat.js
unknown,numbercall,xml-view,data/cron.xml
unknown,prema_ai_channel,js-token,static/src/js/chat.js
unknown,prema_ai_chat,js-token,static/src/js/chat.js
unknown,res_id,python-write,controllers/upload_controller.py
unknown,res_model,python-write,controllers/upload_controller.py
unknown,role,python-write,controllers/chat_controller.py
unknown,rpc,js-token,static/src/js/chat.js
unknown,session_id,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,session_id,python-write,controllers/chat_controller.py
unknown,session_id,python-write,controllers/upload_controller.py
unknown,severity,xml-view,data/default_rules.xml
unknown,state,xml-view,data/cron.xml
unknown,system,js-token,static/src/js/chat.js
unknown,tag,xml-view,views/chat_action.xml
unknown,type,python-write,controllers/upload_controller.py
unknown,uploading,js-token,static/src/components/ai_chat_upload/ai_chat_upload.js
unknown,user,js-token,static/src/js/chat.js
unknown,user_id,python-write,controllers/chat_controller.py
view,action_type,xml-view,views/cleanup_views.xml
view,action_type,xml-view,views/proposal_views.xml
view,apply_log,xml-view,views/proposal_views.xml
view,approval_stage,xml-view,views/cleanup_views.xml
view,approved,xml-view,views/cleanup_views.xml
view,approved_at,xml-view,views/audit_log_views.xml
view,approved_by,xml-view,views/audit_log_views.xml
view,arch,xml-view,views/audit_dashboard_views.xml
view,arch,xml-view,views/audit_log_views.xml
view,arch,xml-view,views/cleanup_views.xml
view,arch,xml-view,views/config_audit_views.xml
view,arch,xml-view,views/monitoring_dashboard.xml
view,arch,xml-view,views/proposal_views.xml
view,arch,xml-view,views/schema_viewer_views.xml
view,create_date,xml-view,views/proposal_views.xml
view,created_by,xml-view,views/proposal_views.xml
view,diff_report,xml-view,views/schema_viewer_views.xml
view,domain,xml-view,views/monitoring_dashboard.xml
view,error_trace_masked,xml-view,views/proposal_views.xml
view,executed,xml-view,views/cleanup_views.xml
view,explanation,xml-view,views/audit_log_views.xml
view,generated_by_ai,xml-view,views/cleanup_views.xml
view,id,xml-view,views/monitoring_dashboard.xml
view,model,xml-view,views/audit_dashboard_views.xml
view,model,xml-view,views/audit_log_views.xml
view,model,xml-view,views/cleanup_views.xml
view,model,xml-view,views/config_audit_views.xml
view,model,xml-view,views/monitoring_dashboard.xml
view,model,xml-view,views/proposal_views.xml
view,model,xml-view,views/schema_viewer_views.xml
view,model_name,xml-view,views/audit_log_views.xml
view,model_name,xml-view,views/cleanup_views.xml
view,model_name,xml-view,views/schema_viewer_views.xml
view,name,xml-view,views/audit_dashboard_views.xml
view,name,xml-view,views/audit_log_views.xml
view,name,xml-view,views/cleanup_views.xml
view,name,xml-view,views/config_audit_views.xml
view,name,xml-view,views/monitoring_dashboard.xml
view,name,xml-view,views/proposal_views.xml
view,name,xml-view,views/schema_viewer_views.xml
view,payload_json,xml-view,views/proposal_views.xml
view,rationale,xml-view,views/proposal_views.xml
view,record_id,xml-view,views/audit_log_views.xml
view,record_id,xml-view,views/cleanup_views.xml
view,reference_schema,xml-view,views/schema_viewer_views.xml
view,res_model,xml-view,views/audit_dashboard_views.xml
view,res_model,xml-view,views/audit_log_views.xml
view,res_model,xml-view,views/cleanup_views.xml
view,res_model,xml-view,views/config_audit_views.xml
view,res_model,xml-view,views/monitoring_dashboard.xml
view,res_model,xml-view,views/proposal_views.xml
view,res_model,xml-view,views/schema_viewer_views.xml
view,result,xml-view,views/config_audit_views.xml
view,risk_score,xml-view,views/cleanup_views.xml
view,risk_score,xml-view,views/proposal_views.xml
view,rule_name,xml-view,views/audit_log_views.xml
view,rule_name,xml-view,views/monitoring_dashboard.xml
view,runtime_schema,xml-view,views/schema_viewer_views.xml
view,sequence,xml-view,views/cleanup_views.xml
view,severity,xml-view,views/audit_log_views.xml
view,severity,xml-view,views/cleanup_views.xml
view,severity,xml-view,views/monitoring_dashboard.xml
view,severity,xml-view,views/proposal_views.xml
view,status,xml-view,views/audit_log_views.xml
view,status,xml-view,views/cleanup_views.xml
view,status,xml-view,views/monitoring_dashboard.xml
view,status,xml-view,views/proposal_views.xml
view,step_ids,xml-view,views/cleanup_views.xml
view,summary,xml-view,views/cleanup_views.xml
view,tag,xml-view,views/monitoring_dashboard.xml
view,target,xml-view,views/config_audit_views.xml
view,target,xml-view,views/schema_viewer_views.xml
view,target_model,xml-view,views/proposal_views.xml
view,target_res_id,xml-view,views/proposal_views.xml
view,view_id,xml-view,views/audit_dashboard_views.xml
view,view_ids,xml-view,views/monitoring_dashboard.xml
view,view_mode,xml-view,views/audit_dashboard_views.xml
view,view_mode,xml-view,views/audit_log_views.xml
view,view_mode,xml-view,views/cleanup_views.xml
view,view_mode,xml-view,views/config_audit_views.xml
view,view_mode,xml-view,views/monitoring_dashboard.xml
view,view_mode,xml-view,views/proposal_views.xml
view,view_mode,xml-view,views/schema_viewer_views.xml
